playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
10,7,0,0,0,1,3,10,5,0,17,19,2,410,-1,Loss
11,2,0,0,0,10,3,10,0,0,13,23,2,405,-2,Win
7,10,0,0,0,4,10,5,0,0,17,19,2,400,-2,Loss
10,6,0,0,0,10,6,1,0,0,16,17,2,395,-3,Loss
6,7,0,0,0,10,3,8,0,0,13,21,2,390,-2,Loss
9,4,0,0,0,8,8,5,0,0,13,21,2,385,0,Loss
8,10,0,0,0,3,11,5,0,0,18,19,2,380,0,Loss
9,2,10,0,0,10,10,0,0,0,21,20,2,375,-2,Win
8,10,0,0,0,10,8,0,0,0,18,18,2,371,-4,Push
2,11,0,0,0,10,4,8,0,0,13,22,2,366,-4,Win
2,10,0,0,0,3,6,2,3,2,12,18,2,358,2,Loss
4,8,0,0,0,10,11,0,0,0,12,21,2,354,1,Loss
6,3,9,0,0,9,7,1,0,0,18,17,2,348,2,Win
6,9,0,0,0,6,10,3,0,0,15,19,2,343,4,Loss
2,5,10,0,0,9,10,0,0,0,17,19,2,338,4,Loss
8,7,0,0,0,3,4,10,0,0,15,17,2,333,5,Loss
10,3,0,0,0,4,6,6,8,0,13,24,2,327,8,Win
9,10,0,0,0,7,4,10,0,0,19,21,2,322,7,Loss
10,10,0,0,0,10,2,8,0,0,20,20,2,317,5,Push
10,4,0,0,0,4,3,4,10,0,14,21,2,311,7,Loss
2,2,10,0,0,10,7,0,0,0,14,17,2,306,7,Loss
8,10,0,0,0,8,9,0,0,0,18,17,2,302,6,Win
8,8,0,0,0,3,5,3,8,0,16,19,2,296,9,Loss
7,4,6,0,0,1,2,1,10,3,17,17,2,288,10,Push
10,3,0,0,0,2,4,7,10,0,13,23,2,282,11,Win
2,4,7,0,0,2,5,9,10,0,13,26,2,275,14,Win
4,10,0,0,0,5,8,2,6,0,14,21,2,269,17,Loss
9,10,0,0,0,10,3,9,0,0,19,22,2,264,16,Win
7,11,0,0,0,10,9,0,0,0,18,19,2,260,14,Loss
10,7,0,0,0,8,10,0,0,0,17,18,2,256,12,Loss
6,10,0,0,0,11,6,0,0,0,16,17,2,252,12,Loss
11,9,0,0,0,2,8,10,0,0,20,20,2,247,11,Push
7,3,10,0,0,8,11,0,0,0,20,19,2,242,10,Win
2,11,0,0,0,10,2,4,6,0,13,22,2,236,12,Win
9,5,0,0,0,9,7,3,0,0,14,19,2,231,14,Loss
10,4,0,0,0,10,10,0,0,0,14,20,2,227,12,Loss
3,10,0,0,0,10,8,0,0,0,13,18,2,223,11,Loss
1,11,0,0,0,10,7,0,0,0,12,17,2,219,8,Loss
7,2,5,0,0,11,10,0,0,0,14,21,2,214,8,Loss
10,3,0,0,0,2,5,11,0,0,13,18,2,209,9,Loss
5,10,0,0,0,5,10,10,0,0,15,25,2,204,8,Win
5,5,8,0,0,10,6,10,0,0,18,26,2,410,1,Win
9,11,0,0,0,10,9,0,0,0,20,19,2,406,-1,Win
5,7,0,0,0,10,11,0,0,0,12,21,2,402,-2,Loss
11,5,0,0,0,10,9,0,0,0,16,19,2,398,-3,Loss
10,6,0,0,0,10,4,10,0,0,16,24,2,393,-4,Win
3,6,2,10,0,5,1,8,2,10,21,26,2,384,-2,Win
5,3,10,0,0,5,10,10,0,0,18,25,2,378,-2,Win
10,10,0,0,0,9,4,5,0,0,20,18,2,373,-2,Win
11,8,0,0,0,9,8,0,0,0,19,17,2,369,-3,Win
10,10,0,0,0,8,4,3,10,0,20,25,2,363,-4,Win
10,10,0,0,0,6,3,4,8,0,20,21,2,357,-3,Loss
11,3,0,0,0,10,2,6,0,0,14,18,2,352,-2,Loss
2,2,11,0,0,7,8,5,0,0,15,20,2,346,0,Loss
4,2,5,9,0,8,10,0,0,0,20,18,2,340,2,Win
10,7,0,0,0,10,10,0,0,0,17,20,2,336,-1,Loss
3,10,0,0,0,10,10,0,0,0,13,20,2,332,-3,Loss
8,10,0,0,0,2,7,10,0,0,18,19,2,327,-4,Loss
11,6,0,0,0,10,10,0,0,0,17,20,2,323,-6,Loss
6,4,10,0,0,5,10,4,0,0,20,19,2,317,-4,Win
7,10,0,0,0,8,10,0,0,0,17,18,2,313,-6,Loss
10,2,0,0,0,3,10,10,0,0,12,23,2,308,-7,Win
10,2,0,0,0,3,9,8,0,0,12,20,2,303,-6,Loss
8,8,0,0,0,10,11,0,0,0,16,21,2,299,-8,Loss
9,4,0,0,0,10,5,10,0,0,13,25,2,294,-8,Win
10,11,0,0,0,8,10,0,0,0,21,18,2,290,-11,Win
10,10,0,0,0,10,8,0,0,0,20,18,2,286,-14,Win
10,7,0,0,0,4,10,3,0,0,17,17,2,281,-14,Push
5,9,0,0,0,8,8,4,0,0,14,20,2,276,-12,Loss
10,10,0,0,0,3,1,10,7,0,20,21,2,270,-15,Loss
9,10,0,0,0,9,6,5,0,0,19,20,2,265,-14,Loss
2,5,3,3,0,10,10,0,0,0,13,20,2,259,-12,Loss
6,2,4,0,0,3,10,7,0,0,12,20,2,253,-9,Loss
8,10,0,0,0,9,3,8,0,0,18,20,2,248,-9,Loss
8,9,0,0,0,10,3,10,0,0,17,23,2,243,-10,Win
8,11,0,0,0,2,6,10,0,0,19,18,2,238,-10,Win
10,10,0,0,0,7,10,0,0,0,20,17,2,234,-13,Win
4,3,9,0,0,10,7,0,0,0,16,17,2,229,-12,Loss
10,6,0,0,0,8,11,0,0,0,16,19,2,225,-13,Loss
5,7,0,0,0,9,9,0,0,0,12,18,2,221,-12,Loss
6,9,0,0,0,4,9,10,0,0,15,23,2,216,-11,Win
10,6,0,0,0,5,9,2,10,0,16,26,2,210,-10,Win
4,10,0,0,0,4,5,4,10,0,14,23,2,204,-8,Win
10,5,0,0,0,9,11,0,0,0,15,20,2,412,-1,Loss
11,8,0,0,0,10,6,6,0,0,19,22,2,407,-1,Win
7,3,2,0,0,3,1,10,2,8,12,24,2,399,1,Win
10,10,0,0,0,11,10,0,0,0,20,21,2,395,-3,Loss
11,6,0,0,0,3,7,8,0,0,17,18,2,390,-2,Loss
10,11,0,0,0,10,3,6,0,0,21,19,2,385,-3,Win
