playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
9,4,10,0,0,4,4,4,9,0,23,21,409,Loss
10,4,8,0,0,10,4,5,0,0,22,19,403,Loss
10,8,10,0,0,8,10,0,0,0,28,18,398,Loss
1,10,7,0,0,10,11,0,0,0,18,21,393,Loss
9,10,5,0,0,7,9,10,0,0,24,26,387,Loss
7,8,9,0,0,2,10,8,0,0,24,20,381,Loss
3,3,4,6,0,3,3,6,10,0,16,22,373,Win
3,10,10,0,0,2,8,11,0,0,23,21,367,Loss
5,10,10,0,0,7,4,2,10,0,25,23,360,Loss
7,9,1,0,0,5,9,4,0,0,17,18,354,Loss
11,2,2,0,0,3,10,10,0,0,15,23,348,Win
10,2,5,0,0,10,5,10,0,0,17,25,342,Win
1,6,7,0,0,9,7,6,0,0,14,22,336,Win
8,5,8,0,0,9,5,9,0,0,21,23,330,Win
10,2,3,0,0,5,4,10,0,0,15,19,324,Loss
7,10,7,0,0,9,3,10,0,0,24,22,318,Loss
10,7,10,0,0,10,7,0,0,0,27,17,313,Loss
7,10,8,0,0,10,5,10,0,0,25,25,307,Loss
10,6,9,0,0,2,2,6,7,0,25,17,300,Loss
6,5,5,0,0,6,2,10,0,0,16,18,294,Loss
10,10,6,0,0,4,7,2,8,0,26,21,287,Loss
10,10,10,0,0,10,8,0,0,0,30,18,282,Loss
8,3,5,0,0,10,10,0,0,0,16,20,277,Loss
10,4,8,0,0,3,10,7,0,0,22,20,271,Loss
3,10,9,0,0,4,3,7,10,0,22,24,264,Loss
1,10,10,0,0,8,9,0,0,0,21,17,259,Win
10,10,3,0,0,5,2,8,10,0,23,25,252,Loss
1,2,9,10,0,8,10,0,0,0,22,18,246,Loss
3,4,10,0,0,5,8,6,0,0,17,19,240,Loss
10,10,5,0,0,6,10,6,0,0,25,22,234,Loss
2,8,10,0,0,10,6,10,0,0,20,26,228,Win
1,10,7,0,0,7,2,8,0,0,18,17,222,Win
10,9,10,0,0,3,8,8,0,0,29,19,216,Loss
10,3,10,0,0,10,8,0,0,0,23,18,211,Loss
10,1,6,0,0,9,11,0,0,0,17,20,206,Loss
6,1,10,0,0,8,2,9,0,0,17,19,410,Loss
3,5,10,0,0,8,3,10,0,0,18,21,404,Loss
8,4,4,0,0,9,4,10,0,0,16,23,398,Win
3,9,6,0,0,9,3,3,10,0,18,25,391,Win
10,7,10,0,0,8,10,0,0,0,27,18,386,Loss
3,10,10,0,0,11,6,0,0,0,23,17,381,Loss
1,10,6,0,0,10,10,0,0,0,17,20,376,Loss
1,7,7,0,0,10,10,0,0,0,15,20,371,Loss
10,1,10,0,0,11,5,3,0,0,21,19,365,Win
6,5,4,0,0,5,10,2,0,0,15,17,359,Loss
1,7,10,0,0,2,10,10,0,0,18,22,353,Win
2,1,10,5,0,10,10,0,0,0,18,20,347,Loss
7,9,4,0,0,2,4,4,5,5,20,20,339,Push
10,10,4,0,0,10,9,0,0,0,24,19,334,Loss
1,11,3,0,0,3,8,5,10,0,15,26,327,Win
5,10,3,0,0,3,5,10,0,0,18,18,321,Push
4,2,2,10,0,6,8,5,0,0,18,19,314,Loss
