playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
9,6,10,0,0,2,9,8,0,0,25,19,0,410,1,Loss
8,6,9,0,0,10,10,0,0,0,23,20,0,405,0,Loss
10,10,10,0,0,6,2,11,0,0,30,19,0,399,-2,Loss
10,10,8,0,0,5,6,1,1,7,28,20,0,391,-4,Loss
10,1,2,0,0,1,3,10,9,0,13,23,0,384,-6,Win
10,5,8,0,0,11,6,0,0,0,23,17,0,379,-6,Loss
10,8,3,0,0,10,7,0,0,0,21,17,0,374,-7,Win
7,10,5,0,0,3,10,10,0,0,22,23,0,368,-8,Loss
5,7,7,0,0,2,10,9,0,0,19,21,0,362,-7,Loss
10,9,10,0,0,6,2,4,7,0,29,19,0,355,-6,Loss
2,10,7,0,0,3,9,10,0,0,19,22,0,349,-6,Win
5,3,10,0,0,11,6,0,0,0,18,17,0,344,-5,Win
7,8,10,0,0,10,10,0,0,0,25,20,0,339,-8,Loss
10,7,6,0,0,5,7,3,10,0,23,25,0,332,-7,Loss
3,5,3,0,0,7,9,9,0,0,11,25,0,326,-4,Win
8,4,10,0,0,1,2,1,10,7,22,21,0,318,-6,Loss
4,4,5,0,0,2,5,10,0,0,13,17,0,312,-2,Loss
10,8,10,0,0,7,10,0,0,0,28,17,0,307,-5,Loss
5,8,2,0,0,10,6,10,0,0,15,26,0,301,-4,Win
6,7,10,0,0,10,6,10,0,0,23,26,0,295,-5,Loss
3,2,10,0,0,5,4,10,0,0,15,19,0,289,-3,Loss
8,9,9,0,0,8,10,0,0,0,26,18,0,284,-4,Loss
5,2,6,0,0,2,11,3,5,0,13,21,0,277,1,Loss
5,10,6,0,0,8,4,10,0,0,21,22,0,271,2,Win
3,2,3,0,0,10,10,0,0,0,8,20,0,266,3,Loss
7,9,8,0,0,10,11,0,0,0,24,21,0,261,1,Loss
4,8,10,0,0,4,10,9,0,0,22,23,0,255,1,Loss
4,3,6,0,0,7,10,0,0,0,13,17,0,250,3,Loss
1,10,6,0,0,10,3,10,0,0,17,23,0,244,1,Win
6,1,8,0,0,10,10,0,0,0,15,20,0,239,-1,Loss
10,1,10,0,0,10,6,8,0,0,21,24,0,233,-4,Win
5,4,8,0,0,9,10,0,0,0,17,19,0,228,-3,Loss
4,10,10,0,0,9,7,4,0,0,24,20,0,222,-3,Loss
4,10,2,0,0,3,2,7,10,0,16,22,0,215,-1,Win
10,5,8,0,0,10,3,10,0,0,23,23,0,209,-2,Loss
10,3,10,0,0,10,10,0,0,0,23,20,0,204,-5,Loss
10,8,10,0,0,6,11,0,0,0,28,17,0,411,-2,Loss
9,4,2,0,0,10,8,0,0,0,15,18,0,406,-1,Loss
2,7,10,0,0,10,11,0,0,0,19,21,0,401,-3,Loss
10,10,1,0,0,5,4,9,0,0,21,18,0,395,-4,Win
10,3,10,0,0,6,6,1,10,0,23,23,0,388,-5,Loss
5,7,8,0,0,8,3,5,10,0,20,26,0,381,-3,Win
8,8,2,0,0,10,3,1,5,0,18,19,0,374,-2,Loss
9,6,10,0,0,11,10,0,0,0,25,21,0,369,-4,Loss
4,10,10,0,0,8,11,0,0,0,24,19,0,364,-6,Loss
10,2,10,0,0,8,9,0,0,0,22,17,0,359,-7,Loss
10,8,4,0,0,5,6,10,0,0,22,21,0,353,-6,Loss
3,10,9,0,0,10,3,10,0,0,22,23,0,347,-7,Loss
6,10,10,0,0,3,10,9,0,0,26,22,0,341,-8,Loss
6,10,10,0,0,2,10,5,0,0,26,17,0,335,-8,Loss
10,4,9,0,0,11,6,0,0,0,23,17,0,330,-8,Loss
3,3,5,0,0,4,10,4,0,0,11,18,0,324,-4,Loss
2,10,9,0,0,9,11,0,0,0,21,20,0,319,-5,Win
3,5,3,0,0,6,7,3,9,0,11,25,0,312,0,Win
10,10,10,0,0,2,9,10,0,0,30,21,0,306,-3,Loss
2,9,8,0,0,5,10,10,0,0,19,25,0,300,-3,Win
